cl_staff_id,company_id,cl_staff_name,cl_staff_position,cl_staff_phone,cl_staff_email,cl_staff_address
901,COM1,Lois Acom,Account Executive,8993867224,lacom0@imageshack.us,90972 Green Plaza
902,COM2,Nerti Rainsdon,VP Quality Control,78020719,nrainsdon1@xrea.com,0 Debra Street
903,COM3,Paulina Sherrin,Software Consultant,761330283,psherrin2@adobe.com,20006 John Wall Hill
904,COM4,Toinette Gullen,Chemical Engineer,9755976310,tgullen3@yale.edu,83760 Southridge Plaza
905,COM5,Hilary Moralas,Senior Quality Engineer,3685028308,hmoralas4@is.gd,495 Michigan Pass
906,COM6,Amii Johl,Staff Scientist,6137070972,ajohl5@desdev.cn,4 Troy Alley
907,COM7,Magda Odgers,Account Coordinator,1664023461,modgers6@unblog.fr,52 Bashford Point
908,COM8,Kenny Vanyukov,Programmer I,1524339032,kvanyukov7@amazon.co.uk,1939 Barnett Road
909,COM9,Judith Moulder,Information Systems Manager,1764375734,jmoulder8@sakura.ne.jp,6 Esch Avenue
910,COM10,Ruthann Smittoune,Food Chemist,4588449281,rsmittoune9@princeton.edu,55 Cascade Place
911,COM11,Zelda Lippard,Biostatistician III,7322372883,zlipparda@bloomberg.com,013 Bobwhite Crossing
912,COM12,Madelyn Ivashnikov,Account Executive,6857885397,mivashnikovb@yellowbook.com,8571 Meadow Valley Terrace
913,COM13,Temple Pochon,Staff Scientist,8735616288,tpochonc@dedecms.com,2396 Vermont Trail
914,COM14,Elias Ramalhete,Teacher,1948371359,eramalheted@netlog.com,6 Talmadge Terrace
915,COM15,Lind Cowerd,Social Worker,6177830927,lcowerde@ucoz.com,601 Eastlawn Terrace
916,COM16,Padraig Giraudo,Social Worker,5222225631,pgiraudof@so-net.ne.jp,60693 Kropf Parkway
917,COM17,Archambault Itzkovwich,Paralegal,6740687242,aitzkovwichg@reddit.com,7355 Clarendon Court
918,COM18,Etheline Bawme,Senior Quality Engineer,2414214783,ebawmeh@yahoo.com,248 Old Gate Lane
919,COM19,Milt O'Heagertie,Accounting Assistant IV,6950407513,moheagertiei@vk.com,51696 Lakewood Gardens Circle
